"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
"3020229311028160","Budweiser百威美式拉格啤酒600ml*12瓶装 商务宴请婚宴礼","320.00","1","","","","","买家已付款，等待卖家发货",""
"3020685108487363","Budweiser百威啤酒经典醇正355ml*12瓶 铝罐装婚宴礼节喜酒","198.00","5","","","","","买家已付款，等待卖家发货",""
"2998794406631523","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3020119914279769","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","3","","","","","买家已付款，等待卖家发货",""
"2998784409448414","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2999379835650122","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","等待买家付款",""
"3020570500176896","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","注意防冻，只有中通，邮政能到！","买家已付款，等待卖家发货",""
"2998759804916103","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","等待买家付款",""
"3020013314771173","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","等待买家付款",""
"3020462302670498","Budweiser百威啤酒经典醇正355ml*24瓶 铝罐装婚宴礼节喜酒","396.00","1","","","","","买家已付款，等待卖家发货",""
"3019265893089896","Budweiser/百威经典醇正啤酒330ml*48听 罐装黄啤小麦熟啤","516.00","2","","","","","等待买家付款",""
"3020415302659896","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","4","","","","","等待买家付款",""
"2999271832830305","Budweiser/百威啤酒小麦醇正9.7度经典小瓶330ml *12瓶装婚礼","158.00","1","","","","","等待买家付款",""
"3020347505872261","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3019847710591484","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3000543824516923","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2496083189022125","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","买家已付款，等待卖家发货",""
"3017451280998269","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","买家已付款，等待卖家发货",""
"2495712371272929","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2494819362930327","Budweiser百威啤酒经典醇正355ml*24瓶 铝罐装婚宴礼节喜酒","396.00","1","","","","","买家已付款，等待卖家发货",""
"3019666716619179","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3019637311445699","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","2","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3019923301378657","Budweiser/百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","4","","","","","买家已付款，等待卖家发货",""
"3000310827355621","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","卖家已发货，等待买家确认",""
"3019784101607958","Budweiser百威美式拉格啤酒600ml*12瓶装 商务宴请婚宴礼","320.00","1","","","","","买家已付款，等待卖家发货",""
"3018586495026956","Budweiser百威啤酒经典醇正355ml*12瓶 铝罐装婚宴礼节喜酒","198.00","1","","","","正常备货试试口感","买家已付款，等待卖家发货",""
